,Year,income,Total nominal food sales per capita,Total constant dollar food sales per capita,AVG_EduCom_CPI,AVG_furnish_CPI,AVG_rec_CPI,AVG_Rent_CPI,AVG_trans_CPI,AVG_utilities_CPI
0,1998,56730,"5,306.94","3,968.99",101.66666666666667,124.01666666666667,100.60000000000001,174.57500000000002,143.36666666666667,132.53333333333333
1,1999,64280,"5,208.00","3,805.45",103.43333333333335,124,101.98333333333333,179.97500000000002,145.8166666666667,136.04999999999998
2,2000,66240,"5,018.76","3,586.18",104.78333333333335,125.43333333333334,102.71666666666665,187.17499999999998,157.21666666666667,142.66666666666666
3,2001,64690,"4,703.44","3,261.00",108.65000000000002,128.45,102.95,200.5666666666666,158.86666666666667,142.71666666666667
4,2002,60640,"4,594.10","3,114.69",112.23333333333335,131.86666666666667,105.18333333333334,213.525,155.76666666666668,139.4333333333333
5,2003,68490,"4,436.91","2,948.39",113.68333333333334,134.46666666666667,109.73333333333333,223.92499999999998,161.33333333333334,148.11666666666667
6,2004,64450,"5,065.42","3,262.57",114.31666666666666,134.75,108.96666666666668,232.00833333333333,166.28333333333333,155.9333333333333
7,2005,64860,"5,546.50","3,471.75",118.76666666666667,129.96666666666667,109.3,242.4333333333333,178.41666666666666,172.53333333333333
8,2006,67910,"5,867.33","3,573.63",123.93333333333334,123.68333333333332,112.43333333333334,253.31666666666663,186.33333333333334,185.5666666666667
9,2007,69360,"6,292.66","3,692.75",127.66183333333333,122.286,114.02366666666666,264.23825,188.60616666666667,196.744
10,2008,73240,"6,353.43","3,553.20",131.76466666666667,121.06850000000001,114.93883333333333,276.3506666666667,202.70533333333336,219.87033333333332
11,2009,70300,"5,712.22","3,110.23",135.14016666666666,121.593,113.945,287.07275,181.5245,216.975
12,2010,74290,"5,221.77","2,815.01",139.60766666666666,117.39649999999999,116.10616666666665,293.47100000000006,197.69516666666667,216.69883333333334
13,2011,69930,"5,342.97","2,796.55",142.07316666666665,111.10016666666668,114.66216666666666,302.2485,216.2055,215.13733333333332
14,2012,81010,"5,244.18","2,672.40",145.02866666666668,110.40400000000001,115.11283333333334,314.1755,220.67516666666668,210.78683333333333
15,2013,73680,"5,057.76","2,531.25",146.90483333333336,108.786,116.13166666666666,322.936,224.60183333333336,214.36633333333336
16,2014,82590,"5,244.55","2,562.48",150.06666666666666,105.55933333333331,117.61650000000002,328.5445,226.44583333333333,221.31600000000003
17,2015,84820,"5,256.75","2,507.39",154.68366666666668,104.332,118.77133333333335,336.89025000000004,208.77400000000003,218.14716666666664
18,2016,85170,"5,343.06","2,506.56",156.78216666666665,101.62666666666667,117.9045,341.8213333333333,203.65866666666668,222.49866666666665
19,2017,95840,"5,549.05","2,555.82",154.18983333333333,101.474,111.99116666666667,349.92325,209.87716666666665,233.92566666666667
20,2018,99110,"5,842.80","2,632.32",153.78283333333331,104.27916666666668,116.57549999999999,359.16858333333334,217.0536666666667,226.32316666666668
21,2019,106100,"5,993.48","2,632.58",150.57999999999998,109.878,117.97316666666667,366.4184166666667,215.90650000000002,237.67183333333332
22,2020,99440,"5,296.99","2,265.35",154.23316666666665,110.67383333333335,113.92033333333335,376.85683333333344,209.28516666666664,237.17466666666667
