DATE,MEHOINUSDCA672N
1984-01-01,51700
1985-01-01,51640
1986-01-01,58620
1987-01-01,64010
1988-01-01,60120
1989-01-01,57620
1990-01-01,56260
1991-01-01,59230
1992-01-01,58460
1993-01-01,51500
1994-01-01,55590
1995-01-01,55440
1996-01-01,56160
1997-01-01,54790
1998-01-01,56730
1999-01-01,64280
2000-01-01,66240
2001-01-01,64690
2002-01-01,60640
2003-01-01,68490
2004-01-01,64450
2005-01-01,64860
2006-01-01,67910
2007-01-01,69360
2008-01-01,73240
2009-01-01,70300
2010-01-01,74290
2011-01-01,69930
2012-01-01,81010
2013-01-01,73680
2014-01-01,82590
2015-01-01,84820
2016-01-01,85170
2017-01-01,95840
2018-01-01,99110
2019-01-01,106100
2020-01-01,99440
2021-01-01,97740
2022-01-01,101700
